Estado_Sigla,Preco_Media
AC,3.02
AL,2.7
AM,2.63
AP,2.74
BA,2.66
CE,2.65
DF,2.68
ES,2.63
GO,2.6
MA,2.61
MG,2.51
MS,2.71
MT,2.77
PA,2.79
PB,2.42
PE,2.6
PI,2.57
PR,2.52
RJ,2.59
RN,2.58
RO,2.74
RR,2.72
RS,2.59
SC,2.55
SE,2.57
SP,2.43
TO,2.72
Total,2.55
