Estado_Sigla,Preco_Media
AC,2.99
AL,2.78
AM,2.51
AP,2.42
BA,2.61
CE,2.65
DF,2.59
ES,2.61
GO,2.53
MA,2.72
MG,2.49
MS,2.73
MT,2.87
PA,2.73
PB,2.45
PE,2.59
PI,2.62
PR,2.45
RJ,2.56
RN,2.53
RO,2.73
RR,2.64
RS,2.57
SC,2.54
SE,2.53
SP,2.42
TO,2.69
Total,2.53
