Estado_Sigla,Preco_Media
AC,3.5
AL,3.01
AM,3.28
AP,3.11
BA,3.02
CE,3.09
DF,3.14
ES,3.04
GO,3.1
MA,3.05
MG,3.03
MS,3.11
MT,3.11
PA,3.22
PB,2.89
PE,2.95
PI,2.88
PR,2.97
RJ,3.17
RN,3.05
RO,3.24
RR,3.13
RS,3.01
SC,2.97
SE,2.97
SP,2.89
TO,3.1
Total,3.01
