Estado_Sigla,Preco_Media
AC,4.33
AL,3.81
AM,3.88
AP,3.67
BA,3.74
CE,3.89
DF,3.59
ES,3.72
GO,3.81
MA,3.61
MG,3.81
MS,3.69
MT,3.71
PA,4.12
PB,3.61
PE,3.58
PI,3.61
PR,3.66
RJ,4.01
RN,3.82
RO,3.97
RR,3.73
RS,3.85
SC,3.62
SE,3.57
SP,3.54
TO,3.78
Total,3.72
