Estado_Sigla,Preco_Media
AC,3.2
AL,2.77
AM,2.94
AP,2.79
BA,2.78
CE,2.76
DF,2.84
ES,2.86
GO,2.84
MA,2.73
MG,2.85
MS,2.79
MT,2.98
PA,2.94
PB,2.6
PE,2.73
PI,2.62
PR,2.72
RJ,2.88
RN,2.71
RO,2.98
RR,2.89
RS,2.8
SC,2.74
SE,2.75
SP,2.66
TO,2.91
Total,2.77
