Estado_Sigla,Preco_Media
AC,2.99
AL,2.8
AM,2.54
AP,2.58
BA,2.67
CE,2.68
DF,2.56
ES,2.68
GO,2.59
MA,2.74
MG,2.52
MS,2.73
MT,2.95
PA,2.69
PB,2.61
PE,2.62
PI,2.55
PR,2.46
RJ,2.57
RN,2.57
RO,2.73
RR,2.71
RS,2.63
SC,2.57
SE,2.54
SP,2.45
TO,2.73
Total,2.56
