Estado_Sigla,Preco_Media
AC,3.05
AL,2.69
AM,2.63
AP,2.71
BA,2.65
CE,2.6
DF,2.67
ES,2.66
GO,2.6
MA,2.65
MG,2.49
MS,2.7
MT,2.74
PA,2.81
PB,2.43
PE,2.58
PI,2.59
PR,2.47
RJ,2.59
RN,2.6
RO,2.73
RR,2.76
RS,2.58
SC,2.53
SE,2.54
SP,2.42
TO,2.73
Total,2.54
