Estado_Sigla,Preco_Media
AC,3.46
AL,2.99
AM,3.18
AP,3.03
BA,3.04
CE,3.0
DF,3.09
ES,3.02
GO,3.11
MA,2.98
MG,3.03
MS,3.15
MT,3.14
PA,3.18
PB,2.85
PE,2.94
PI,2.83
PR,3.01
RJ,3.12
RN,2.99
RO,3.2
RR,3.11
RS,3.01
SC,3.0
SE,2.93
SP,2.88
TO,3.11
Total,3.0
