Estado_Sigla,Preco_Media
AC,3.03
AL,2.76
AM,2.51
AP,2.63
BA,2.63
CE,2.64
DF,2.57
ES,2.63
GO,2.54
MA,2.7
MG,2.51
MS,2.73
MT,2.84
PA,2.8
PB,2.45
PE,2.61
PI,2.61
PR,2.43
RJ,2.58
RN,2.55
RO,2.76
RR,2.72
RS,2.58
SC,2.54
SE,2.53
SP,2.42
TO,2.72
Total,2.54
