Estado_Sigla,Preco_Media
AC,3.07
AL,2.73
AM,2.66
AP,2.87
BA,2.71
CE,2.72
DF,2.71
ES,2.7
GO,2.62
MA,2.64
MG,2.57
MS,2.72
MT,2.8
PA,2.85
PB,2.48
PE,2.62
PI,2.56
PR,2.57
RJ,2.67
RN,2.67
RO,2.81
RR,2.84
RS,2.63
SC,2.57
SE,2.61
SP,2.48
TO,2.81
Total,2.6
