Estado_Sigla,Preco_Media
AC,4.87
AL,4.35
AM,4.51
AP,4.06
BA,4.34
CE,4.42
DF,4.3
ES,4.21
GO,4.47
MA,3.99
MG,4.58
MS,4.24
MT,4.3
PA,4.44
PB,4.05
PE,4.21
PI,4.29
PR,4.24
RJ,4.75
RN,4.28
RO,4.4
RR,4.18
RS,4.46
SC,4.03
SE,4.19
SP,4.1
TO,4.47
Total,4.31
