Estado_Sigla,Preco_Media
AC,4.96
AL,4.51
AM,4.23
AP,3.59
BA,4.42
CE,4.45
DF,4.35
ES,4.2
GO,4.4
MA,4.19
MG,4.39
MS,4.42
MT,4.33
PA,4.4
PB,4.18
PE,4.36
PI,4.42
PR,4.07
RJ,4.74
RN,4.6
RO,4.38
RR,4.05
RS,4.33
SC,4.2
SE,4.38
SP,4.05
TO,4.53
Total,4.28
