Estado_Sigla,Preco_Media
AC,4.14
AL,3.84
AM,3.93
AP,3.63
BA,3.8
CE,3.93
DF,3.83
ES,3.71
GO,3.83
MA,3.66
MG,3.79
MS,3.64
MT,3.73
PA,4.08
PB,3.72
PE,3.78
PI,3.76
PR,3.7
RJ,3.94
RN,3.85
RO,3.95
RR,3.9
RS,3.94
SC,3.52
SE,3.71
SP,3.55
TO,3.89
Total,3.74
