Estado_Sigla,Preco_Media
AC,2.75
AL,2.65
AM,2.68
AP,2.5
BA,2.47
CE,2.55
DF,2.44
ES,2.42
GO,2.43
MA,2.45
MG,2.36
MS,2.63
MT,2.82
PA,2.59
PB,2.41
PE,2.46
PI,2.47
PR,2.38
RJ,2.43
RN,2.43
RO,2.66
RR,2.72
RS,2.69
SC,2.49
SE,2.4
SP,2.3
TO,2.56
Total,2.43
