Estado_Sigla,Preco_Media
AC,3.01
AL,2.8
AM,2.58
AP,2.58
BA,2.68
CE,2.75
DF,2.6
ES,2.66
GO,2.61
MA,2.75
MG,2.53
MS,2.75
MT,2.96
PA,2.71
PB,2.62
PE,2.65
PI,2.52
PR,2.52
RJ,2.59
RN,2.64
RO,2.77
RR,2.84
RS,2.74
SC,2.55
SE,2.56
SP,2.46
TO,2.74
Total,2.59
