Estado_Sigla,Preco_Media
AC,3.06
AL,2.72
AM,2.72
AP,2.89
BA,2.73
CE,2.68
DF,2.71
ES,2.69
GO,2.61
MA,2.64
MG,2.57
MS,2.69
MT,2.81
PA,2.85
PB,2.43
PE,2.61
PI,2.56
PR,2.56
RJ,2.69
RN,2.67
RO,2.79
RR,2.84
RS,2.63
SC,2.6
SE,2.62
SP,2.49
TO,2.82
Total,2.6
