Estado_Sigla,Preco_Media
AC,3.34
AL,2.89
AM,3.08
AP,2.94
BA,2.91
CE,2.92
DF,3.0
ES,2.92
GO,2.93
MA,2.9
MG,2.94
MS,3.05
MT,3.03
PA,3.09
PB,2.8
PE,2.87
PI,2.76
PR,2.87
RJ,3.03
RN,2.9
RO,3.1
RR,3.04
RS,2.91
SC,2.87
SE,2.9
SP,2.76
TO,3.04
Total,2.89
