Estado_Sigla,Preco_Media
AC,4.75
AL,4.41
AM,4.53
AP,3.49
BA,4.39
CE,4.37
DF,4.08
ES,4.24
GO,4.35
MA,4.2
MG,4.49
MS,4.3
MT,4.33
PA,4.5
PB,3.99
PE,4.2
PI,4.4
PR,4.04
RJ,4.77
RN,4.32
RO,4.37
RR,3.94
RS,4.37
SC,4.12
SE,4.33
SP,4.08
TO,4.46
Total,4.28
