Estado_Sigla,Preco_Media
AC,3.81
AL,3.27
AM,3.6
AP,3.41
BA,3.41
CE,3.37
DF,3.46
ES,3.32
GO,3.36
MA,3.33
MG,3.34
MS,3.37
MT,3.32
PA,3.52
PB,3.13
PE,3.25
PI,3.21
PR,3.26
RJ,3.47
RN,3.28
RO,3.53
RR,3.47
RS,3.32
SC,3.22
SE,3.28
SP,3.14
TO,3.41
Total,3.29
