Estado_Sigla,Preco_Media
AC,2.53
AL,2.28
AM,2.3
AP,2.34
BA,2.26
CE,2.28
DF,2.15
ES,2.18
GO,2.18
MA,2.14
MG,2.15
MS,2.39
MT,2.57
PA,2.38
PB,2.13
PE,2.19
PI,2.26
PR,2.17
RJ,2.19
RN,2.18
RO,2.45
RR,2.19
RS,2.32
SC,2.26
SE,2.15
SP,2.07
TO,2.31
Total,2.18
