Estado_Sigla,Preco_Media
AC,2.98
AL,2.77
AM,2.62
AP,2.67
BA,2.66
CE,2.7
DF,2.58
ES,2.63
GO,2.59
MA,2.72
MG,2.54
MS,2.78
MT,2.96
PA,2.75
PB,2.56
PE,2.63
PI,2.6
PR,2.53
RJ,2.62
RN,2.59
RO,2.77
RR,2.9
RS,2.76
SC,2.62
SE,2.56
SP,2.47
TO,2.75
Total,2.59
