Estado_Sigla,Preco_Media
AC,3.04
AL,2.75
AM,2.54
AP,2.67
BA,2.65
CE,2.65
DF,2.54
ES,2.66
GO,2.56
MA,2.67
MG,2.5
MS,2.73
MT,2.72
PA,2.81
PB,2.47
PE,2.61
PI,2.62
PR,2.44
RJ,2.59
RN,2.63
RO,2.75
RR,2.76
RS,2.61
SC,2.55
SE,2.54
SP,2.43
TO,2.72
Total,2.55
