Estado_Sigla,Preco_Media
AC,3.2
AL,2.8
AM,2.89
AP,2.81
BA,2.78
CE,2.77
DF,2.84
ES,2.89
GO,2.87
MA,2.72
MG,2.86
MS,2.77
MT,2.92
PA,2.94
PB,2.57
PE,2.7
PI,2.67
PR,2.72
RJ,2.89
RN,2.7
RO,2.99
RR,2.82
RS,2.81
SC,2.75
SE,2.77
SP,2.67
TO,2.93
Total,2.77
